rpt_rec_num,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Beds,Total Bed Days Available,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Total Salaries (adjusted),Contract Labor: Direct Patient Care,Inpatient Revenue,Outpatient Revenue,Less Contractual Allowance and Discounts on Patients' Accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio
742091,10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY ST SOUTH,HAMILTON,AL,-35570,MARION,99901,R,STH,1,2,2021-10-01,2022-09-30,102.93,36,13140,1258744,3512066,2435320,2671132,11335228,10510778,664945,22382801,17513970,49335504,66849474,1716212,11109924,857962,17582817,52342479,50235917,19689379,21846006,-2156627,1853466,-303161,,-303161,0.334824
742095,40161,ENCORE MEDICAL CENTER,1901 ENCORE WAY,BRYANT,AR,72019,BOONE,99904,R,STH,1,4,2021-10-01,2022-09-30,201.98,25,9125,12646,3752899,1080164,2051671,17109543,41216015,2085698,48922359,75853174,96354358,172207532,2664516,17109543,,76199080,114859190,135326678,55731592,58325558,-2593966,253016,-2340950,,-2340950,0.28409
742096,54153,OCEAN VIEW PSYCHIATRIC FACILITY,2600 REDONDO AVENUE,LONG BEACH,CA,90806,LOS ANGELES,31084,U,PH,4,4,2022-01-01,2022-12-31,71.01,37,13505,,,,,6506850,6626300,121425,10990460,12076302,,12076302,,,,12076301,,284232,11792069,13133150,-1341081,600745,-740336,,-740336,
742098,100012,LEE MEMORIAL HOSPITAL,2776 CLEVELAND AVENUE,FORT MYERS,FL,-33901,LEE,15980,U,STH,1,13,2021-10-01,2022-09-30,5905,748,273020,33170753,124609353,55649096,88235658,431852123,622371527,86885960,1003780440,2629021281,3013327067,5642348348,81725715,431852123,4279048,2603082244,3351394353,4678110529,1276366068,1054223650,222142418,105538699,327681117,-2138987,329820104,0.177901
742111,102023,SSH - PALM BEACH  LLC,3060 MELALEUCA LANE,LAKE WORTH,FL,33461,PALM BEACH,48424,U,LTCH,2,4,2021-12-01,2022-11-30,198.57,60,21900,,,,,16188271,18498912,1456313,35508823,253066043,,253066043,2458006,16188271,2945510,253066043,,218661545,34404498,35036057,-631559,530052,-101507,1484938,-1586445,
742114,114016,ST. SIMONS BY THE SEA,2927 DEMERE ROAD,ST. SIMONS ISLAND,GA,31522,,15260,U,PH,4,4,2022-01-01,2022-12-31,124.2,101,36865,,,,,7207542,6804139,593850,12063332,41683400,1207575,42890975,,,,41683400,1207575,28775132,14115843,13219886,895957,37067,933024,,933024,
742117,190053,OCHSNER AMERICAN LEGION HOSPITAL,1634 ELTON ROAD,JENNINGS,LA,70546,JEFFRSON DAVIS PARISH,99919,R,STH,1,2,2022-04-01,2022-11-30,197.61,49,11956,151495,454073,332415,2384146,17649713,24577674,,37855693,29708258,64616549,94324807,2417903,17649713,,29894140,65500673,62919935,32474878,42227387,-9752509,20823779,11071270,1692729,9378541,0.401333
742125,250002,TISHOMINGO HEALTH SERVICES,1777 CURTIS DRIVE,IUKA,MS,38852,TISHOMINGO,99925,R,STH,1,2,2021-10-01,2022-09-30,108.28,48,17520,1245720,2888168,2010335,2065261,8352633,9835558,470941,17264035,14860793,50661246,65522039,3107802,8204708,798094,15438093,54377899,53527626,16288366,18188191,-1899825,2306728,406903,,406903,0.263484
742127,250020,WEBSTER HEALTH SERVICES,70 MEDICAL PLAZA,EUPORA,MS,39744,WEBSTER,99925,R,STH,1,2,2021-10-01,2022-09-30,139.56,38,13870,747100,1552751,1295542,1344703,13459227,12251713,645849,21640878,17308870,43944435,61253305,1945916,13418660,1758285,20933751,47349012,47312027,20970736,25710940,-4740204,2753542,-1986662,,-1986662,0.353301
742128,250060,JEFFERSON COUNTY HOSPITAL,809 S. MAIN STREET,FAYETTE,MS,39069-0577,JEFFERSON,99925,R,STH,1,9,2021-10-01,2022-09-30,66.36,12,4380,,202860,71001,314243,4781310,5876895,311527,9622939,9572873,8975966,18548839,1052038,4781310,,9315692,9950278,12400130,6865840,10658205,-3792365,826206,-2966159,,-2966159,0.518789
742129,250067,CLAY COUNTY MEDICAL CORPORATION,835 MEDICAL CENTER DRIVE,WEST POINT,MS,39773,CLAY,99925,R,STH,1,2,2021-10-01,2022-09-30,238.43,49,17885,1925058,5540392,3110575,3191929,20159781,24996130,2307689,40496403,29254832,161272158,190526990,3647663,20036466,1465042,31575629,172861042,159066866,45369805,45155911,213894,4063298,4277192,,4277192,0.212549
742130,250082,DELTA HEALTH-THE MEDICAL CENTER,1400 EAST UNION STREET,GREENVILLE,MS,38704-5247,WASHINGTON,99925,R,STH,1,9,2021-10-01,2022-09-30,581.55,101,42969,4031853,11355364,7532551,7532551,48582502,93659979,980305,102604525,126590242,208330291,334920533,14117133,48582502,7558480,129490911,237705703,255108340,112088274,142242481,-30154207,20741055,-9413152,,-9413152,0.306355
742133,251336,BAPTIST MEDICAL CENTER - ATTALA,220 HIGHWAY 12 WEST,KOSCIUSKO,MS,39090,ATTALA,99925,R,CAH,1,1,2021-10-01,2022-09-30,112.12,25,9125,703686,654284,980043,1789953,6804890,11390737,561758,17115137,7932388,30839115,38771503,,,,8349959,30581887,23092601,15839245,18195627,-2356382,187592,-2168790,,-2168790,0.441436
742142,300034,CATHOLIC MEDICAL CENTER,100 MCGREGOR STREET,MANCHESTER,NH,3102,HILLSBOROUGH,31700,U,STH,1,2,2021-10-01,2022-09-30,2183.19,262,95630,4818518,13018560,8666108,13797394,175755601,315038368,12322482,441864116,770784638,745296475,1516081113,34494658,175755601,11830165,803062376,835475554,1168166822,470371108,490096822,-19725714,52905626,33179912,26636641,6543271,0.291452
742154,351309,SANFORD MAYVILLE,42 6TH AVENUE SE,MAYVILLE,ND,-58257,TRAILL,99935,R,CAH,1,2,2022-01-01,2022-12-31,62.3,25,9125,664552,306791,905052,1117771,5769916,6663880,344338,11085922,2008876,11562682,13571558,,,,2017415,14034219,3261421,12790213,12441829,348384,1064559,1412943,,1412943,0.81685
742160,400113,HOSPITAL SAN CRISTOBAL,509 KM 1 COTTO LAUREL,PONCE,PR,980,PONCE,38660,U,STH,1,3,2021-10-01,2022-09-30,331,128,46720,,4448717,2563095,3940694,9061784,26664651,749163,30873989,30445210,21365124,51810334,1169803,9061784,1220745,30445210,22972302,20788270,32629242,35726435,-3097193,6222085,3124892,,3124892,0.595904
742162,431339,COTEAU DES PRAIRIES,205 ORCHARD DRIVE,SISSETON,SD,-57262,ROBERTS,99943,R,CAH,1,2,2022-01-01,2022-12-31,131.01,25,9125,97090,615460,397734,1222042,8637529,12657048,1706293,19494624,5141729,33626268,38767997,,,,5141729,35251163,19735773,20657119,21294714,-637595,2207278,1569683,,1569683,0.502854
742164,442014,SSH -MEMPHIS  INC,1265 UNION AVE,MEMPHIS,TN,38104,SHELBY,32820,U,LTCH,2,4,2021-12-01,2022-11-30,85.21,39,14235,,,,,7438592,14080482,1525095,22465984,116920081,,116920081,1155881,7438592,5369518,116920081,,96226691,20693390,21519074,-825684,220,-825464,1323023,-2148487,
